ymd,time,gp,cellA,bioA,cellV,bioV,ocV
YYYYMMDD,HHMMSS,hour,cells*m-2,uL*m-2,cells*L-1,uL*L-1,mg*L-1
19980704,043000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980704,053000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980704,063000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980704,073000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980704,083000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980704,093000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980704,103000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980704,113000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980704,123000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980704,133000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980704,143000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980704,153000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980704,163000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980704,173000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980704,183000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980704,193000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980704,203000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980704,213000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980704,223000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980704,233000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980705,003000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980705,013000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980705,023000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980705,033000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980705,043000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980705,053000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980705,063000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980705,073000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980705,083000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980705,093000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980705,103000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980705,113000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980705,123000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980705,133000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980705,143000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980705,153000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980705,163000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980705,173000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980705,183000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980705,193000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980705,203000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980705,213000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980705,223000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980705,233000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980706,003000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980706,013000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980706,023000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980706,033000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980706,043000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980706,053000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
19980706,063000,12.00000,7.856178,3.9752260E-05,0.3928089,1.9876131E-06,8.2602076E-02
